Negara,Kematian_anak,Harapan_hidup,cluster_x,Pendapatan,GDPperkapita,cluster_y
Afghanistan,1.4227447206646953,-1.815960497532272,0,-0.9792417271112314,-0.8406475625407477,1
Angola,2.241039143465328,-1.2867716816983517,0,-0.5446746745203233,-0.423078403258046,1
Benin,2.013735137131819,-1.056099633770746,0,-0.9579692140473408,-0.811893220030518,1
Botswana,0.3515745908180335,-1.6938400015705983,0,0.20492816677867923,-0.027530862385617805,1
Burkina Faso,2.1558001410902623,-1.5852884496046662,0,-0.9974753097374234,-0.8375617306616011,1
Burundi,1.5193489233564363,-1.6124263375961487,0,-1.0649395654543337,-0.8858129200446208,1
Cameroon,1.928496134756753,-1.6667021135791158,0,-0.8728791617917784,-0.7344668928810214,1
Comoros,1.3659187190813178,-0.49977292994534106,0,-0.9995012633625557,-0.8103503040909447,1
"Congo, Dem. Rep.",2.1558001410902623,-1.6395642255876324,0,-1.08064070604911,-0.871365616246798,1
"Congo, Rep.",0.675482799843284,-1.2460648497111275,0,-0.6165960282125248,-0.5338878207364922,1
Cote d'Ivoire,2.013735137131819,-1.8023915535365314,0,-0.8698402313540797,-0.7470907505684393,1
Eritrea,0.4282896929555929,-1.0696685777664867,0,-0.9984882865499896,-0.8506063836052663,1
Gabon,0.6698001996849463,-0.9068412498175886,0,0.41765329741758533,0.3091053426121934,1
Gambia,1.1414560128269775,-0.554048705928308,0,-0.9741768430484002,-0.8393851767720059,1
Ghana,0.9823432083935213,-1.001823857787779,0,-0.8323600892891295,-0.7344668928810214,1
Guinea,1.9569091355484416,-1.5717195056089246,0,-1.0217867532390126,-0.827322379426251,1
Guinea-Bissau,2.098974139506885,-1.8973741615067217,0,-1.0015272169876883,-0.8414891530532422,1
India,0.5305764958056718,-0.4590660979581168,0,-0.6956082195926899,-0.7288562894643912,1
Kenya,0.6271806984974133,-0.9204101938133303,0,-0.8911127444179703,-0.7825778171786253,1
Kiribati,0.6413871988932577,-1.2053580177239023,0,-0.9670860053604368,-0.7092191775061856,1
Lao,1.1016778117186137,-0.7847207538559149,0,-0.7391662225330373,-0.7583119574016997,1
Liberia,1.3971730199521752,-1.1917890737281613,0,-1.0714226170547574,-0.8723474718447083,1
Madagascar,0.6271806984974133,-1.1917890737281613,0,-1.0015272169876883,-0.8602846744989533,1
Malawi,1.4312686209022016,-2.2365977614002603,0,-1.0379943822400721,-0.8538324805698286,1
Mali,2.7524731577157233,-1.3681853456728013,0,-0.9529043299845097,-0.8189064743013057,1
Mauritania,1.6273183263648534,-0.18768721804328575,0,-0.8060226921624078,-0.7498960522767544,1
Mozambique,1.7296051292149324,-2.046632545459879,0,-1.0493397225408139,-0.8594430839864589,1
Myanmar,0.6896893002391284,-0.37765243398366827,0,-0.7655036196597591,-0.7796322503848944,1
Namibia,0.45102009358894374,-1.490305841634475,0,-0.285352610503371,-0.19023836146789325,1
Niger,2.3546911466320823,-1.4631679536429925,0,-1.0598746813915025,-0.8694019050509774,1
Nigeria,2.553582152173903,-1.2324959057153857,0,-0.6206479354627896,-0.5913965057569516,1
Pakistan,1.4767294221689033,-0.5811865939197915,0,-0.7087769181560508,-0.7723384659432752,1
Rwanda,0.6669588996057774,-0.6761692018899828,0,-1.005579124237953,-0.8392449116865901,1
Senegal,0.7578805021391809,-0.7575828658644314,0,-0.9215020487949569,-0.7779490693599054,1
Solomon Islands,-0.34170262849916916,-1.0696685777664867,0,-0.9620211212976056,-0.7372721945893365,1
South Africa,0.38567019176805994,-2.0737704334513625,0,0.0732411811450707,0.10291566705103405,1
Sudan,1.0391692099768985,-0.445497153962376,0,-0.8009578080995767,-0.7106218283603432,1
Tanzania,0.9027868061767932,-1.3953232336642847,0,-0.9306188401080528,-0.8197480648138002,1
Togo,1.4255860207438638,-1.4767368976387332,0,-1.0197607996138802,-0.8497647930927718,1
Turkmenistan,0.6214980983390755,-0.22839405003051003,0,-0.13543204224357053,-0.2954371755297093,1
Uganda,1.1613451133811596,-1.7345468335578236,0,-0.986332564799195,-0.834756428953286,1
Yemen,0.4595439938264502,-0.282669826013477,0,-0.6885173819047263,-0.7344668928810214,1
Zambia,1.2210124150437056,-2.3858561453534177,0,-0.8100745994126727,-0.7134271300686582,1
